labels	X	Y	Z	PointType
FFT10h	210.535937	171.000000	176.102420	PointType.ELECTRODE
FT10h	215.000000	170.000000	161.100000	PointType.ELECTRODE
FTT10h	215.100000	170.000000	146.000000	PointType.ELECTRODE
TTP10h	218.100000	170.000000	121.000000	PointType.ELECTRODE
TP10h	220.564063	168.000000	106.002420	PointType.ELECTRODE
TPP10h	213.694387	167.000000	89.971937	PointType.ELECTRODE
P10h	208.100000	166.000000	75.000000	PointType.ELECTRODE
PPO10h	200.197352	164.548680	61.194704	PointType.ELECTRODE
PO10h	192.491994	163.900330	49.571325	PointType.ELECTRODE
POO10h	178.259189	162.000000	38.057146	PointType.ELECTRODE
OI2	164.000000	161.000000	30.900000	PointType.ELECTRODE
OI2h	149.051140	159.464060	26.461506	PointType.ELECTRODE
Fp1h	117.115560	149.830000	233.658110	PointType.ELECTRODE
Fp1	100.189930	152.397770	230.140220	PointType.ELECTRODE
AFp7	88.153200	153.000000	225.176600	PointType.ELECTRODE
AF7	75.000000	153.000000	217.100000	PointType.ELECTRODE
AFF7	65.667940	153.000000	204.343090	PointType.ELECTRODE
F7	58.076600	153.000000	192.253200	PointType.ELECTRODE
FFT7	51.900000	153.000000	178.000000	PointType.ELECTRODE
FT7	47.959520	153.000000	163.035610	PointType.ELECTRODE
FTT7	46.660010	153.200000	148.145070	PointType.ELECTRODE
TTP7	43.900000	152.000000	118.935220	PointType.ELECTRODE
TP7	44.181890	150.820000	105.235560	PointType.ELECTRODE
TPP7	50.138870	150.000000	88.348172	PointType.ELECTRODE
P7	56.900000	149.000000	74.000000	PointType.ELECTRODE
PPO7	63.801150	147.549430	60.197708	PointType.ELECTRODE
PO7	72.321080	146.526310	48.578918	PointType.ELECTRODE
POO7	84.900000	145.000000	38.000000	PointType.ELECTRODE
O1	98.856220	143.000000	31.995687	PointType.ELECTRODE
O1h	115.905420	141.510870	27.951087	PointType.ELECTRODE
Fp2h	143.000000	150.000000	234.100000	PointType.ELECTRODE
Fp2	157.997690	151.000000	231.600580	PointType.ELECTRODE
AFp8	173.797390	151.449350	224.201310	PointType.ELECTRODE
AF8	186.100000	152.000000	215.000000	PointType.ELECTRODE
AFF8	195.235501	152.000000	202.452660	PointType.ELECTRODE
F8	203.100000	152.000000	188.000000	PointType.ELECTRODE
FFT8	209.001853	152.000000	174.148830	PointType.ELECTRODE
FT8	213.100000	151.000000	160.000000	PointType.ELECTRODE
FTT8	215.100000	151.000000	144.940830	PointType.ELECTRODE
TTP8	218.100000	150.000000	115.000000	PointType.ELECTRODE
TP8	217.614649	149.514650	99.058597	PointType.ELECTRODE
TPP8	211.600578	148.000000	87.002313	PointType.ELECTRODE
P8	205.179112	147.000000	71.158223	PointType.ELECTRODE
PPO8	198.179112	146.000000	59.158223	PointType.ELECTRODE
PO8	188.100000	145.000000	47.000000	PointType.ELECTRODE
POO8	177.100000	144.000000	38.000000	PointType.ELECTRODE
O2	163.196132	142.537470	32.021193	PointType.ELECTRODE
O2h	149.000000	141.000000	27.900000	PointType.ELECTRODE
AFp5	95.688860	146.133920	226.922780	PointType.ELECTRODE
AFp3	105.423740	137.576260	230.574580	PointType.ELECTRODE
AFp1	115.805660	131.097170	232.551420	PointType.ELECTRODE
AFp6	164.505434	146.453900	227.563830	PointType.ELECTRODE
AFp4	154.523740	138.423740	230.525420	PointType.ELECTRODE
AFp2	142.805660	133.902830	232.648580	PointType.ELECTRODE
AF7h	78.900000	146.000000	218.000000	PointType.ELECTRODE
AF5	84.448110	137.006870	220.049830	PointType.ELECTRODE
AF5h	88.902430	130.195150	221.551210	PointType.ELECTRODE
AF3	94.057330	123.482670	224.500110	PointType.ELECTRODE
AF3h	103.000000	117.000000	225.100000	PointType.ELECTRODE
AF1	110.000000	112.000000	226.100000	PointType.ELECTRODE
AF1h	119.000000	110.000000	227.100000	PointType.ELECTRODE
AF8h	181.000000	145.000000	218.100000	PointType.ELECTRODE
AF6	176.000000	138.000000	220.100000	PointType.ELECTRODE
AF6h	170.100000	132.000000	222.000000	PointType.ELECTRODE
AF4	164.485467	122.437550	224.052080	PointType.ELECTRODE
AF4h	157.949460	117.487370	225.612630	PointType.ELECTRODE
AF2	149.837290	114.190000	225.737540	PointType.ELECTRODE
AF2h	140.000000	110.000000	227.100000	PointType.ELECTRODE
AFF7h	67.446950	142.011080	206.049720	PointType.ELECTRODE
AFF5	72.000000	132.000000	208.100000	PointType.ELECTRODE
AFF5h	78.831890	122.224970	210.488130	PointType.ELECTRODE
AFF3	84.900000	113.000000	212.000000	PointType.ELECTRODE
AFF3h	93.382330	105.565480	214.047820	PointType.ELECTRODE
AFF1	104.736480	98.059366	216.000000	PointType.ELECTRODE
AFF1h	116.000000	94.900000	217.000000	PointType.ELECTRODE
AFF8h	193.100000	142.000000	204.000000	PointType.ELECTRODE
